Stock,Date,Open,High,Low,Close,Volume,PctChange
LT,09-09-2022,1972.9,1982.93,1939.63,1945.36,980870,-1.25
LT,08-09-2022,1963.47,1972.55,1943.17,1969.96,1630000,0.83
LT,07-09-2022,1936.73,1956.94,1929.65,1953.69,1240000,-0.21
LT,06-09-2022,1969.36,1980.63,1946.91,1957.89,1170000,-0.31
LT,05-09-2022,1943.57,1968.31,1937.73,1963.92,2470000,1.44
LT,02-09-2022,1896.22,1954.39,1895.97,1936.13,3200000,1.44
LT,01-09-2022,1900.71,1926.16,1887.84,1908.65,2010000,-0.5
LT,30-08-2022,1889.64,1923.66,1884.9,1918.17,1390000,2.18
LT,29-08-2022,1865.79,1885.75,1856.81,1877.27,1180000,-1.25
LT,26-08-2022,1885.95,1907.7,1882.95,1901.11,1120000,1.46
LT,25-08-2022,1895.72,1913.69,1868.79,1873.68,1120000,-0.82
LT,24-08-2022,1871.78,1893.73,1847.43,1889.09,1530000,0.87
LT,23-08-2022,1865.79,1907.65,1861.5,1872.83,1810000,-0.19
LT,22-08-2022,1932.74,1939.63,1870.78,1876.42,3180000,-2.86
LT,19-08-2022,1889.84,1937.63,1888.49,1931.69,4130000,2.19
LT,18-08-2022,1852.82,1894.28,1845.84,1890.29,2520000,2.09
LT,17-08-2022,1857.26,1863.15,1845.89,1851.53,1750000,0.37
LT,16-08-2022,1855.81,1859.81,1837.86,1844.74,1430000,0.13
LT,12-08-2022,1860.8,1864.8,1833.86,1842.3,1040000,-1.11
LT,11-08-2022,1865.84,1874.57,1851.03,1862.95,1920000,0.65
LT,10-08-2022,1825.88,1862.8,1818.15,1850.98,3420000,1.39
LT,08-08-2022,1792.36,1827.93,1786.22,1825.53,2630000,2.36
LT,05-08-2022,1778.94,1802.93,1771.31,1783.43,1430000,0.41
LT,04-08-2022,1789.76,1810.72,1771.01,1776.09,1860000,-0.54
LT,03-08-2022,1789.02,1799.94,1769.01,1785.77,1260000,-0.18
LT,02-08-2022,1804.93,1807.57,1771.7,1789.02,1750000,-1.19
LT,01-08-2022,1803.93,1813.76,1786.27,1810.62,1340000,0.37
LT,29-07-2022,1810.87,1828.38,1789.96,1803.98,1750000,0.38
LT,28-07-2022,1800.94,1811.91,1782.93,1797.2,1830000,0.26
LT,27-07-2022,1750.05,1815.41,1746.06,1792.61,5370000,2.59
LT,26-07-2022,1776.74,1776.74,1737.98,1747.31,1590000,-1.75
LT,25-07-2022,1761.03,1781.48,1756.09,1778.44,1920000,0.83
LT,22-07-2022,1761.53,1775.55,1748.61,1763.77,1500000,0.15
LT,21-07-2022,1723.01,1764.97,1711.24,1761.18,2830000,1.45
LT,20-07-2022,1736.43,1742.92,1724.06,1736.04,1510000,0.59
LT,19-07-2022,1716.08,1731.05,1710.14,1725.91,1350000,0.12
LT,18-07-2022,1692.23,1730.7,1686.2,1723.76,3200000,2.54
LT,15-07-2022,1650.18,1684.05,1645.49,1681.06,1350000,2.35
LT,14-07-2022,1648.13,1663.6,1630.92,1642.45,1170000,-0.07
LT,13-07-2022,1660.26,1679.46,1640.7,1643.54,1910000,-0.39
LT,12-07-2022,1651.28,1669.14,1645.34,1650.03,781520,-0.56
LT,11-07-2022,1681.16,1685.05,1649.68,1659.26,1320000,-1.45
LT,08-07-2022,1617.35,1698.17,1614.36,1683.65,6520000,4.74
LT,07-07-2022,1562.38,1610.52,1562.13,1607.47,1700000,3.53
LT,06-07-2022,1562.03,1586.92,1548.31,1552.65,2420000,-0.56
LT,05-07-2022,1580.44,1593.66,1558.09,1561.38,1450000,-1.06
LT,04-07-2022,1568.56,1583.88,1546.71,1578.14,1270000,0.61
LT,01-07-2022,1557.44,1572.45,1531.15,1568.61,1290000,0.89
LT,30-06-2022,1545.56,1563.37,1538.63,1554.74,3310000,0.67
LT,29-06-2022,1527.81,1550.5,1521.97,1544.42,1480000,-0.23
LT,28-06-2022,1526.56,1554,1520.67,1548.01,2070000,1.02
LT,27-06-2022,1520.57,1541.22,1506.35,1532.34,2390000,2.74
LT,24-06-2022,1498.37,1508.6,1485.65,1491.49,1730000,0.04
LT,23-06-2022,1478.17,1508.35,1478.17,1490.94,1830000,1.05
LT,22-06-2022,1486.65,1487.59,1464.7,1475.42,1910000,-1.44
LT,21-06-2022,1476.67,1511.79,1473.58,1496.92,1460000,1.94
LT,20-06-2022,1486.65,1494.48,1453.07,1468.49,1840000,-1.22
LT,17-06-2022,1518.58,1526.51,1478.07,1486.6,4550000,-2.45
LT,16-06-2022,1564.87,1571.46,1513.34,1523.96,2330000,-2.11
LT,15-06-2022,1544.47,1563.47,1535.59,1556.84,1460000,1.02
LT,14-06-2022,1528.6,1550.8,1521.77,1541.18,1980000,0.82
LT,13-06-2022,1556.64,1562.43,1514.88,1528.6,2460000,-3.35
LT,10-06-2022,1566.47,1590.91,1565.52,1581.53,1340000,-0.63
LT,09-06-2022,1552.7,1596.4,1552.7,1591.51,1360000,0.67
LT,08-06-2022,1591.41,1604.18,1566.57,1580.98,2120000,-0.31
LT,07-06-2022,1626.33,1634.71,1582.53,1585.87,2160000,-3.09
LT,06-06-2022,1648.43,1658.56,1630.42,1636.51,1540000,-0.72
LT,03-06-2022,1654.22,1669.93,1641.25,1648.33,2930000,0.91
LT,02-06-2022,1628.33,1645.74,1620.05,1633.47,1850000,-0.66
LT,01-06-2022,1649.83,1657.26,1634.76,1644.29,1430000,-0.39
LT,31-05-2022,1656.76,1670.63,1641.3,1650.78,3530000,-0.38
LT,30-05-2022,1616.35,1659.96,1609.97,1657.11,2120000,3.78
LT,27-05-2022,1571.66,1602.39,1570.46,1596.7,1280000,2.05
LT,26-05-2022,1575,1588.9,1536.65,1564.55,3580000,-0.65
LT,25-05-2022,1633,1639.7,1571.1,1574.75,1420000,-3.17
LT,24-05-2022,1644.8,1653.7,1610.1,1626.3,1970000,-1.09
LT,23-05-2022,1629,1660,1605.6,1644.15,4180000,2.11
LT,20-05-2022,1569.4,1613.45,1561.05,1610.1,2180000,4.01
LT,19-05-2022,1550,1562.75,1540.35,1547.95,1800000,-1.56
LT,18-05-2022,1623,1623,1565,1572.5,2980000,-1.97
LT,17-05-2022,1545,1607.9,1545,1604.1,1610000,3.97
LT,16-05-2022,1550,1567.5,1539.45,1542.9,1780000,0.55
LT,13-05-2022,1530,1574.9,1502,1534.5,4330000,0.55
LT,12-05-2022,1550,1554.95,1513.1,1526.15,3410000,-2.84
LT,11-05-2022,1600.5,1609,1557.35,1570.8,2990000,-2.31
LT,10-05-2022,1611,1629.6,1601,1607.95,1180000,-0.51
LT,09-05-2022,1607.55,1629.85,1591.25,1616.15,1400000,-0.39
LT,06-05-2022,1616,1633,1612.1,1622.45,1440000,-0.93
LT,05-05-2022,1650.7,1671.2,1633,1637.65,1710000,0.23
LT,04-05-2022,1679.5,1681.9,1625.05,1633.95,1780000,-2.71
LT,02-05-2022,1668.6,1685.95,1655.05,1679.45,1400000,-0.88
LT,29-04-2022,1731,1739,1687.15,1694.35,2400000,-1.45
LT,28-04-2022,1690,1731,1680,1719.25,3120000,2.52
LT,27-04-2022,1675,1691.6,1666.7,1677.05,1350000,-1.35
LT,26-04-2022,1680,1703.1,1664,1699.95,2440000,2.57
LT,25-04-2022,1675,1675,1652,1657.35,1960000,-2.18
LT,22-04-2022,1701,1716.4,1690.4,1694.35,1470000,-1.18
LT,21-04-2022,1702.95,1725.8,1700,1714.5,1800000,1.35
LT,20-04-2022,1709.95,1712.4,1671.35,1691.6,3830000,-0.83
LT,19-04-2022,1748.3,1760.75,1687,1705.75,2740000,-1.88
LT,18-04-2022,1746.3,1749.95,1715,1738.35,1810000,-1.27
LT,13-04-2022,1754.2,1772.85,1747.1,1760.8,1670000,0.75
LT,12-04-2022,1780,1781.5,1733.6,1747.7,4220000,-1.9
LT,11-04-2022,1820.25,1829.75,1779,1781.5,2260000,-2.69
LT,08-04-2022,1835.4,1838.9,1818.05,1830.75,1900000,0.24
LT,07-04-2022,1849.9,1855.85,1810.15,1826.3,2000000,-1.43
LT,06-04-2022,1833,1858,1827.7,1852.8,2250000,0.91
LT,05-04-2022,1840,1845,1827,1836.05,1720000,0.53
LT,04-04-2022,1784,1829.85,1776.6,1826.35,1960000,2.03
LT,01-04-2022,1759,1794,1759,1790.1,2050000,1.27
LT,31-03-2022,1779.95,1781.35,1758,1767.65,1400000,-0.34
LT,30-03-2022,1766.9,1777.05,1754.1,1773.6,1710000,1.54
